ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Trade_Flow,Scale,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
1,"Afghanistan, Islamic Rep. of",AF,AFG,Comparative advantage in low carbon technology products,Index,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2023-12-03; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2023-12-03. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2023-12-03; IMF staff calculations.",ECBTLA,"Trade in Low Carbon Technology Products; Comparative Advantage","Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Comparative Advantage",Not Applicable,Units,,,,,,,,,,,,,,,,,,,,,,,,8.89178633163374e-05,8.15372974536611e-05,0.000585706240106625,,,
2,"Afghanistan, Islamic Rep. of",AF,AFG,Exports of low carbon technology products,US Dollars,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2023-12-03; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2023-12-03. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2023-12-03; IMF staff calculations.",ECBTLX,"Trade in Low Carbon Technology Products; Exports","Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,,,,,,,,,,,,,,,,,,,,,,3401.98,3217.85,24089.55,,,
3,"Afghanistan, Islamic Rep. of",AF,AFG,Exports of low carbon technology products as percent of GDP,Percent,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2023-12-03; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2023-12-03. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2023-12-03; IMF staff calculations.",ECBTLX,"Trade in Low Carbon Technology Products; Exports","Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,,,,,,,,,,,,,,,,,,,,,,1.80161653230974e-05,1.74869727529927e-05,0.000127621664405525,,,
4,"Afghanistan, Islamic Rep. of",AF,AFG,Exports of low carbon technology products as share of total exports,Percent,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2023-12-03; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2023-12-03. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2023-12-03; IMF staff calculations.",ECBTLX,"Trade in Low Carbon Technology Products; Exports","Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,,,,,,,,,,,,,,,,,,,,,,0.000408961017032067,0.000367678213302055,0.00278868033757096,,,
5,"Afghanistan, Islamic Rep. of",AF,AFG,Imports of low carbon technology products,US Dollars,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2023-12-03; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2023-12-03. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2023-12-03; IMF staff calculations.",ECBTLM,"Trade in Low Carbon Technology Products; Imports","Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,,,,,,,,,,,5994168,7203199,15286531,19578602,,,,8503327,6561112,16117335.58,19123701.27,105468155.81,,,
6,"Afghanistan, Islamic Rep. of",AF,AFG,Imports of low carbon technology products as percent of GDP,Percent,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2023-12-03; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2023-12-03. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2023-12-03; IMF staff calculations.",ECBTLM,"Trade in Low Carbon Technology Products; Imports","Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,,,,,,,,,,,0.0582136809593062,0.0596975918184239,0.0997465816377547,0.109438806720816,,,,0.0423963024829335,0.0364100195722777,0.0853539945493859,0.103925180802356,0.558749399065299,,,
7,"Afghanistan, Islamic Rep. of",AF,AFG,Imports of low carbon technology products as share of total imports,Percent,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2023-12-03; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2023-12-03. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2023-12-03; IMF staff calculations.",ECBTLM,"Trade in Low Carbon Technology Products; Imports","Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,,,,,,,,,,,0.198084131630327,0.215241414618289,0.295822505879536,0.305573092436571,,,,0.110020187525657,0.100311209826087,0.206623017744005,0.258201390983702,1.55647335973085,,,
8,"Afghanistan, Islamic Rep. of",AF,AFG,Total trade in low carbon technology products,US Dollars,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2023-12-03; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2023-12-03. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2023-12-03; IMF staff calculations.",ECBTL,Trade in Low Carbon Technology Products,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products",Not Applicable,Units,,,,,,,,,,,,,,,,,,,,,,,,16120737.56,19126919.12,105492245.36,,,
9,"Afghanistan, Islamic Rep. of",AF,AFG,Total trade in low carbon technology products as percent of GDP,Percent,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2023-12-03; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2023-12-03. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2023-12-03; IMF staff calculations.",ECBTL,Trade in Low Carbon Technology Products,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products",Not Applicable,Units,,,,,,,,,,,,,,,,,,,,,,,,0.085372010714709,0.10394266777511,0.558877020729705,,,
10,"Afghanistan, Islamic Rep. of",AF,AFG,Trade balance in low carbon technology products,US Dollars,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2023-12-03; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2023-12-03. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2023-12-03; IMF staff calculations.",ECBTLB,"Trade in Low Carbon Technology Products; Trade Balance","Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Trade Balance",Not Applicable,Units,,,,,,,,,,,,,,,,,,,,,,,,-16113933.6,-19120483.42,-105444066.26,,,
11,"Afghanistan, Islamic Rep. of",AF,AFG,Trade balance in low carbon technology products as percent of GDP,Percent,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2023-12-03; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2023-12-03. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2023-12-03; IMF staff calculations.",ECBTLB,"Trade in Low Carbon Technology Products; Trade Balance","Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Trade Balance",Not Applicable,Units,,,,,,,,,,,,,,,,,,,,,,,,-0.0853359783840628,-0.103907693829603,-0.558621777400893,,,
12,Albania,AL,ALB,Comparative advantage in low carbon technology products,Index,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2023-12-03; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2023-12-03. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2023-12-03; IMF staff calculations.",ECBTLA,"Trade in Low Carbon Technology Products; Comparative Advantage","Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Comparative Advantage",Not Applicable,Units,,,,,0.0757902073990987,0.120211678087096,0.149908352562984,0.09754533920908,0.0743403384900788,0.126163994614419,0.20917212347565,0.25098577854841,0.233683366615444,0.270993787185816,0.303330735810977,0.205554650900911,0.198196681153989,0.222380192691549,0.172473446135343,0.190844559352607,0.1293797570803,0.143336594449783,0.197002110236211,0.000588556514814077,0.00014748042973467,0.00106566941952394,0.0242853224775285,0.10622560123673,
13,Albania,AL,ALB,Exports of low carbon technology products,US Dollars,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2023-12-03; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2023-12-03. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2023-12-03; IMF staff calculations.",ECBTLX,"Trade in Low Carbon Technology Products; Exports","Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,462018,377321,541428,1163679,1377025,1084958,891157,2030792,4790525,6059007,6747775,10568440,16032265,9875985,13229235,17558790,13202339,18436375,13384751,12584175,16950188,66677.761,20612.193,151456.134,3479802.776,20241102.992,
14,Albania,AL,ALB,Exports of low carbon technology products as percent of GDP,Percent,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2023-12-03; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2023-12-03. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2023-12-03; IMF staff calculations.",ECBTLX,"Trade in Low Carbon Technology Products; Exports","Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,0.014439827526964,0.0167065922833173,0.0211483949965085,0.0362620880500757,0.0395320805504139,0.027621445114928,0.0204954651289292,0.0361898640026447,0.0666769287809766,0.0752481673568108,0.0758511054442172,0.0989798167962633,0.124460393085707,0.0819986826279604,0.110824769094238,0.136127871806545,0.107131071102872,0.144219306418397,0.101045138549388,0.11049239227646,0.142892382044667,0.000510806668240427,0.000135994857722664,0.000983567761728655,0.0229056983528161,0.11255135476842,
